repo,osv_total,in_graph,explicit_direct,implicit_direct,transitive,true_transitive,transitive_density_strict_pct,unique_findings,unique_called,unique_imported,unique_required,deps_explicit_direct,deps_implicit_direct,deps_transitive,max_depth,total_modules_in_graph,avg_vuln_age_days,median_vuln_age_days,pct_over_90_days,pct_over_365_days,avg_inertia_tags,max_inertia_tags,tags_total
OpenListTeam/OpenList,281,138,114,22,2,24,17.39,36,21,7,8,95,197,744,2,1104,776,784,77.5,64.5,1,1,1
openshift/origin,158,15,11,1,3,4,26.67,0,0,0,0,126,296,1191,2,2158,1001,1197,93.3,93.3,0,0,72
opentofu/opentofu,265,122,99,19,4,23,18.85,2,2,0,0,104,185,754,2,1362,774,720,77.9,64.8,54,90,90
openziti/ziti,246,103,96,7,0,7,6.80,19,6,0,13,103,95,521,2,1365,814,804,76.7,64.1,89,202,294
openziti/zrok,232,89,82,7,0,7,7.87,23,0,0,23,61,212,824,2,1829,756,785,73.0,62.9,68,142,142
ory/dockertest,159,5,0,5,0,5,100.00,1,0,1,0,5,16,45,2,68,987,1149,80.0,80.0,1,1,1
ory/hydra,264,121,96,24,1,25,20.66,21,5,3,13,61,172,506,2,836,803,805,76.9,65.3,10,35,235
ory/keto,255,112,18,93,1,94,83.93,21,0,8,13,41,241,625,2,988,822,853,75.9,65.2,9,30,74
ory/kratos,273,130,98,30,2,32,24.62,21,0,8,13,83,211,526,2,1244,819,805,77.7,68.5,9,36,81
ory/oathkeeper,271,128,60,62,6,68,53.13,23,2,1,20,56,163,778,2,1529,817,804,77.3,68.8,9,31,118
osrg/gobgp,199,56,14,40,2,42,75.00,8,0,3,5,29,25,148,2,207,890,1101,80.4,71.4,24,56,117
ossf/scorecard,312,169,20,149,0,149,88.17,26,12,12,2,45,251,1324,2,2276,774,695,81.7,71.0,13,45,49
otiai10/gosseract,155,0,0,0,0,0,0.00,0,0,0,0,1,0,1,2,4,,,,,,,11
ovh/cds,347,204,163,41,0,41,20.10,39,20,11,8,120,210,1040,2,1846,768,668,83.8,74.0,7,15,84
owasp-amass/amass,233,90,45,45,0,45,50.00,21,6,2,13,38,81,397,2,2329,820,853,72.2,64.4,1,1,1
owncast/owncast,232,89,76,9,4,13,14.61,8,6,2,0,39,43,231,2,385,797,785,75.3,65.2,8,20,26
OwO-Network/DeepLX,238,95,9,86,0,86,90.53,0,0,0,0,5,34,111,2,161,812,814,76.8,65.3,26,47,47
panjf2000/ants,155,0,0,0,0,0,0.00,0,0,0,0,2,3,2,2,9,,,,,,,52
panjf2000/gnet,157,3,3,0,0,0,0.00,1,0,1,0,7,4,9,2,22,944,1413,66.7,66.7,38,57,123
parnurzeal/gorequest,184,41,39,0,2,2,4.88,13,0,0,13,4,0,7,2,44,889,1197,80.5,73.2,1,1,20
passteque/gluetun,227,84,45,39,0,39,46.43,14,1,0,13,30,30,138,2,249,827,926,73.8,64.3,15,45,78
pdfcpu/pdfcpu,196,53,42,0,11,11,20.75,13,0,0,13,10,3,14,2,30,801,892,67.9,62.3,10,20,72
peco/peco,160,6,0,6,0,6,100.00,1,0,1,0,7,10,12,2,61,1287,1413,83.3,83.3,2,4,58
perkeep/perkeep,239,96,87,9,0,9,9.38,33,9,15,9,40,83,755,2,1198,773,744,72.9,65.6,1,1,12
Permify/permify,247,104,25,79,0,79,75.96,21,5,12,4,67,329,918,2,1551,743,720,74.0,64.4,76,151,151
